date,v2.9_final,risk_strategy,gold,defensive,benchmark
2019-10-08,1.0,1.0,1.0,1.0,100000.0
2019-10-09,1.0029498525073746,1.0,1.014749262536873,1.0,100144.87923560047
2019-10-10,1.005240503837647,1.0055507095806409,1.0094395280235988,1.0,100963.08211291251
2019-10-11,1.008209009414804,1.0121648890128452,1.0044247787610618,1.0,101929.44746030086
2019-10-14,1.0103162065601972,1.0205458848769553,0.9899705014749262,1.0,103011.24716267307
2019-10-15,1.0083275314546443,1.016488309600572,0.9920353982300885,1.0,102568.50559934793
2019-10-16,1.0076095035425328,1.016591688739064,0.9882005899705014,1.0,102215.03674486582
2019-10-17,1.008625305380707,1.015872102182182,0.9952802359882006,1.0,102281.14441046267
2019-10-18,1.0025355972812007,1.0059507545524808,0.9943952802359881,1.0,100825.99404483804
2019-10-21,1.0021088263597566,1.0054359887826048,0.9938053097345133,1.0,101124.66415247342
2019-10-22,1.0041372124070096,1.0101210857069904,0.9899705014749262,1.0,101516.59375367245
2019-10-23,1.0018720804344166,1.0048184204088648,0.9943952802359881,1.0,100870.4740547607
2019-10-24,1.0023317297843235,1.0062822691705278,0.9923303834808259,1.0,100859.60811209067
2019-10-25,1.0065757344464459,1.009993318631739,1.0023598820058996,1.0,101540.33206008111
2019-10-28,1.0103149699144485,1.0165437688934327,1.0014749262536873,1.0,102316.66066911798
2019-10-29,1.006825844312589,1.0141859851552268,0.991150442477876,1.0,101890.387393005
2019-10-30,1.0033120726674387,1.008689342965995,0.9899705014749262,1.0,101395.29647998177
2019-10-31,1.0027221418774759,1.0069995417995379,0.9920353982300885,1.0,101278.71559867305
2019-11-01,1.009025332714822,1.0151541941838427,0.9991150442477876,1.0,102988.99412900349
2019-11-04,1.0114255560035443,1.019578492429211,0.9979351032448377,1.0,103659.5817419852
2019-11-05,1.0136954628286574,1.0255018466454204,0.991740412979351,1.0,104302.9654121671
2019-11-06,1.0070171154349123,1.0192237440772747,0.9772861356932153,1.0,103835.72987735557
2019-11-07,1.0098907536939281,1.0222253336881135,0.9825958702064896,1.0,104017.94939076457
2019-11-08,1.004311676814295,1.019155539526068,0.9643067846607669,1.0,103526.40228638194
2019-11-11,0.9965773959576174,1.006386312267236,0.9634218289085545,1.0,101701.52323839488
2019-11-12,0.9957478031563616,1.0083795922880272,0.9536873156342183,1.0,101720.05006150853
2019-11-13,0.9984470738031891,1.0094005562421964,0.963716814159292,1.0,101623.45521863605
2019-11-14,1.0006746578966754,1.0122270200582044,0.9663716814159291,1.0,101776.54254042612
