year,portfolio_return,benchmark_return,risk_contribution,gold_contribution,defensive_contribution,fee_drag,max_drawdown
2019,0.033510583622506696,0.0674634329760253,0.033426456791101004,-0.00015413531892737985,0.0,-1.5783078588115034e-06,-0.01767981069625635
2020,0.15698586956185046,0.25505455969439184,0.12807555735162227,0.027685181861009232,0.0017363078926875075,-2.360611845060421e-05,-0.06959249668375711
2021,0.041184651380387516,-0.06214170918033213,0.05393142323078154,-0.009271073256045988,0.0055100239695601,-1.6818755751538608e-05,-0.07484398494100009
2022,0.002865823154517999,-0.21272488620338714,-0.015078339077146417,0.018488138884709446,0.004255158593090508,-1.0440395195155346e-05,-0.06552505149457477
2023,0.06110208102855674,-0.11748993479511682,0.025819427175397973,0.031598953192995036,0.004721169358536904,-1.171223929171798e-05,-0.02422426376667597
2024,0.06570784851146572,0.1619911338218829,0.011760414785859106,0.050999891752990856,0.004421923061115907,-1.3386140251563839e-05,-0.03785453080993184
2025,0.2178060474016159,0.21190086365415106,0.10013820282931102,0.09404678781595427,0.003004121486886542,-2.268927186713514e-05,-0.054830756675347536
