variant,description,full_ann_return,full_ann_vol,full_max_drawdown,full_sharpe,full_calmar,full_ann_bench,full_excess,oos_2025_ann_return,oos_2025_ann_vol,oos_2025_max_drawdown,oos_2025_sharpe,oos_2025_calmar,oos_2025_ann_bench,oos_2025_excess,rolling_windows,rolling_ann_mean,rolling_excess_mean,rolling_mdd_mean,rolling_sharpe_mean,rolling_positive_excess_rate,family_score
no_gold_sweep_static_r055_g045_c000,风险策略不含黄金；V2.7静态扫描：55%风险策略 + 45%黄金 + 0%现金,0.09447587075559372,0.09899545107597978,-0.10502077198227922,0.7018087194963176,0.899592232777866,0.004793629881378436,0.08968224087421528,0.34925222390163047,0.11641480202262867,-0.04943880416818691,2.7853178313063864,7.064333973643496,0.21334541399075846,0.135906809910872,13,0.09002139722249584,0.12028730281216587,-0.029678645257584176,1.0079681192651404,0.7692307692307693,4
sweep_static_r055_g045_c000,V2.7静态扫描：55%风险策略 + 45%黄金 + 0%现金,0.09132338062926904,0.09923052404972775,-0.11267042515794035,0.6683768050648625,0.8105355109937038,0.004793629881378436,0.0865297507478906,0.3709059577594367,0.12318792012850235,-0.051075271024888735,2.8079535509537625,7.261947911714379,0.21334541399075846,0.15756054376867823,13,0.09647503764034455,0.12674094323001459,-0.029567859800649073,1.070939731022965,0.7692307692307693,4
no_gold_sweep_static_r060_g040_c000,风险策略不含黄金；V2.7静态扫描：60%风险策略 + 40%黄金 + 0%现金,0.09225119072723875,0.10064185912174918,-0.09919332099735756,0.6682228579053093,0.9300141360293427,0.004793629881378436,0.08745756084586032,0.3306864912734404,0.11315363667507555,-0.05153672322174896,2.70151716070098,6.416521474417057,0.21334541399075846,0.11734107728268195,13,0.08089317224387949,0.11115907783354952,-0.030324545376960797,0.9195730055197517,0.7692307692307693,4
no_gold_sweep_static_r055_g034_c011,风险策略不含黄金；V2.7静态扫描：55%风险策略 + 34%黄金 + 11%现金,0.08353280599182922,0.09010998119984792,-0.08551996190128375,0.6495707269321681,0.9767638354218595,0.004793629881378436,0.07873917611045078,0.2858984367361026,0.09949696296033483,-0.046476614443634934,2.622174878243385,6.151447134404106,0.21334541399075846,0.07255302274534414,13,0.0708515034440709,0.10111740903374093,-0.027096231420421467,0.866505235927641,0.6923076923076923,4
sweep_static_r060_g040_c000,V2.7静态扫描：60%风险策略 + 40%黄金 + 0%现金,0.08892710804225912,0.09987567519163147,-0.10676735972062634,0.6400668422977084,0.8329053774013981,0.004793629881378436,0.08413347816088068,0.35424960583998333,0.11915014827298452,-0.04598400152897508,2.76331679492031,7.703757699659224,0.21334541399075846,0.14090419184922487,13,0.08793313395554772,0.11819903954521771,-0.029983421222625557,1.0018424802265282,0.7692307692307693,4
no_gold_sweep_static_r065_g035_c000,风险策略不含黄金；V2.7静态扫描：65%风险策略 + 35%黄金 + 0%现金,0.08993441884993092,0.10315444257637765,-0.09422510517635785,0.6294873708599817,0.9544634487974707,0.004793629881378436,0.08514078896855248,0.31223682415972154,0.11078473859895993,-0.054647140073935785,2.5927472302797683,5.71369011694437,0.21334541399075846,0.09889141016896308,13,0.07178627582733212,0.10205218141700213,-0.031217205866621474,0.8220331341448603,0.6923076923076923,4
sweep_static_r055_g034_c011,V2.7静态扫描：55%风险策略 + 34%黄金 + 11%现金,0.08053542664025626,0.08904617776000229,-0.09046410053102538,0.6236699658230769,0.8902473596433537,0.004793629881378436,0.07574179675887782,0.30692276207742264,0.1044597715621748,-0.04125097471080197,2.69886443231997,7.4403759966683145,0.21334541399075846,0.09357734808666418,13,0.07723872255100196,0.10750462814067198,-0.02666329679286817,0.9562260679048642,0.6923076923076923,4
no_gold_sweep_static_r060_g030_c010,风险策略不含黄金；V2.7静态扫描：60%风险策略 + 30%黄金 + 10%现金,0.0824571444584754,0.09375681975539381,-0.0825761173832914,0.6128316276978871,0.9985592332433872,0.004793629881378436,0.07766351457709697,0.2748254384459077,0.09918356168764887,-0.05118379137960527,2.5188189876933804,5.369384155379604,0.21334541399075846,0.06148002445514922,13,0.06396887874608562,0.09423478433575563,-0.02834333941137568,0.7740868724255656,0.6923076923076923,4
sweep_static_r065_g035_c000,V2.7静态扫描：65%风险策略 + 35%黄金 + 0%现金,0.0864577140124374,0.10125658986635878,-0.10143902927494564,0.6069502646055034,0.8523121192149612,0.004793629881378436,0.08166408413105897,0.33769445582385105,0.11564397593108917,-0.04735027619051002,2.7039407224305556,7.1318370871832855,0.21334541399075846,0.12434904183309259,13,0.07941186306569105,0.10967776865536108,-0.03047811301300638,0.9262598359935358,0.6923076923076923,4
sweep_static_r060_g030_c010,V2.7静态扫描：60%风险策略 + 30%黄金 + 10%现金,0.0792825809319313,0.09168811722274366,-0.0882534099458997,0.5920350703685979,0.8983514742436852,0.004793629881378436,0.07448895105055287,0.2977721225129535,0.10314182845890514,-0.04309878644546261,2.644631441856145,6.909060488043106,0.21334541399075846,0.08442670852219503,13,0.07094386517963122,0.10120977076930122,-0.027485590898841276,0.8851276308894162,0.6923076923076923,4
no_gold_sweep_static_r070_g030_c000,风险策略不含黄金；V2.7静态扫描：70%风险策略 + 30%黄金 + 0%现金,0.08752611470785987,0.1064718976116252,-0.08926136822253727,0.5872546287841584,0.9805598597777344,0.004793629881378436,0.08273248482648143,0.2939055281919132,0.1093661033908705,-0.06211108013250066,2.4587648261624038,4.731933941012277,0.21334541399075846,0.08056011420115472,13,0.06270152696284217,0.0929674325525122,-0.03233573031055182,0.7142542986776749,0.6923076923076923,4
