date,open,close,high,low,volume,amount,振幅,涨跌幅,涨跌额,换手率
2025-02-25,137.503,137.577,137.78,137.236,18767,263078803.0,0.4,0.14,0.189,5.36
2025-02-26,137.617,137.589,137.767,137.531,145746,2044656259.0,0.17,0.01,0.012,41.66
2025-02-27,137.6,137.531,137.674,137.49,153011,2146722170.0,0.13,-0.04,-0.058,43.73
2025-02-28,137.51,137.578,137.664,137.356,20762,291037256.0,0.22,0.03,0.047,5.93
2025-03-03,137.614,137.924,137.96,137.536,156581,2197633370.0,0.31,0.25,0.346,44.75
2025-03-04,138.036,137.918,138.187,137.757,21393,300824219.0,0.31,0.0,-0.006,6.11
2025-03-05,137.904,137.87,137.998,137.867,149918,2108131530.0,0.09,-0.03,-0.048,42.85
2025-03-06,137.86,137.741,137.86,137.663,149712,2101496941.0,0.14,-0.09,-0.129,42.79
2025-03-07,137.61,137.461,137.61,137.324,18771,262948958.0,0.21,-0.2,-0.28,5.37
2025-03-10,137.323,137.229,137.419,137.21,23009,322151634.0,0.15,-0.17,-0.232,6.58
2025-03-11,137.259,136.905,137.275,136.851,12963,181089081.0,0.31,-0.24,-0.324,3.71
2025-03-12,136.854,137.397,137.457,136.699,183836,2567643999.0,0.55,0.36,0.492,52.55
2025-03-13,137.324,137.415,137.574,137.254,20625,289055370.0,0.23,0.01,0.018,5.9
2025-03-14,137.315,137.39,137.452,137.065,52481,734683334.0,0.28,-0.02,-0.025,15.0
2025-03-17,137.262,137.103,137.268,137.095,12210,170742795.0,0.13,-0.21,-0.287,3.49
2025-03-18,137.086,137.204,137.28,137.053,23671,331114763.0,0.17,0.07,0.101,6.77
2025-03-19,137.204,137.116,137.322,137.064,32373,452586542.0,0.19,-0.06,-0.088,9.25
2025-03-20,137.236,137.289,137.374,137.224,37766,528672465.0,0.11,0.13,0.173,10.79
2025-03-21,137.336,137.236,137.336,137.23,13837,193642852.0,0.08,-0.04,-0.053,3.95
2025-03-24,137.204,137.168,137.229,137.114,14798,206968095.0,0.08,-0.05,-0.068,4.23
2025-03-25,137.339,137.341,137.394,137.244,40245,563393410.0,0.11,0.13,0.173,11.5
2025-03-26,137.331,137.5,137.507,137.268,8144,114073831.0,0.17,0.12,0.159,2.33
2025-03-27,137.504,137.551,137.582,137.426,11059,155030948.0,0.11,0.04,0.051,3.16
2025-03-28,137.542,137.521,137.627,137.469,9230,129437244.0,0.11,-0.02,-0.03,2.64
2025-03-31,137.517,137.511,137.618,137.484,90483,1268608186.0,0.1,-0.01,-0.01,25.86
2025-04-01,137.555,137.504,137.608,137.48,70994,995092985.0,0.09,-0.01,-0.007,20.29
2025-04-02,137.502,137.606,137.629,137.458,18733,262688842.0,0.12,0.07,0.102,5.35
2025-04-03,137.794,138.118,138.154,137.729,21176,297898903.0,0.31,0.37,0.512,6.05
2025-04-07,138.469,138.541,138.594,138.36,23109,326222256.0,0.17,0.31,0.423,6.61
2025-04-08,138.376,138.427,139.064,138.259,68766,970298725.0,0.58,-0.08,-0.114,19.66
2025-04-09,138.514,138.508,138.562,138.316,22420,316324997.0,0.18,0.06,0.081,6.41
2025-04-10,138.424,138.642,138.672,138.279,98584,1392052075.0,0.28,0.1,0.134,28.18
