date,close
2018-01-02,3.478
2018-01-03,3.5
2018-01-04,3.513
2018-01-05,3.529
2018-01-08,3.546
2018-01-09,3.58
2018-01-10,3.598
2018-01-11,3.592
2018-01-12,3.615
2018-01-15,3.607
2018-01-16,3.65
2018-01-17,3.637
2018-01-18,3.665
2018-01-19,3.677
2018-01-22,3.732
2018-01-23,3.776
2018-01-24,3.779
2018-01-25,3.751
2018-01-26,3.773
2018-01-29,3.69
2018-01-30,3.646
2018-01-31,3.659
2018-02-01,3.629
2018-02-02,3.655
2018-02-05,3.651
2018-02-06,3.531
2018-02-07,3.433
2018-02-08,3.4
2018-02-09,3.215
2018-02-12,3.27
2018-02-13,3.317
2018-02-14,3.352
2018-02-22,3.434
2018-02-23,3.456
2018-02-26,3.508
2018-02-27,3.449
2018-02-28,3.408
2018-03-01,3.437
2018-03-02,3.41
2018-03-05,3.401
2018-03-06,3.461
2018-03-07,3.428
2018-03-08,3.469
2018-03-09,3.499
2018-03-12,3.511
2018-03-13,3.467
2018-03-14,3.453
2018-03-15,3.483
2018-03-16,3.438
2018-03-19,3.46
2018-03-20,3.458
2018-03-21,3.437
2018-03-22,3.401
2018-03-23,3.282
2018-03-26,3.264
2018-03-27,3.299
2018-03-28,3.22
2018-03-29,3.29
2018-03-30,3.284
2018-04-02,3.271
2018-04-03,3.246
2018-04-04,3.236
2018-04-09,3.241
2018-04-10,3.316
2018-04-11,3.321
2018-04-12,3.28
2018-04-13,3.253
2018-04-16,3.192
2018-04-17,3.136
2018-04-18,3.144
2018-04-19,3.197
2018-04-20,3.138
2018-04-23,3.154
2018-04-24,3.233
2018-04-25,3.21
2018-04-26,3.134
2018-04-27,3.142
2018-05-02,3.154
2018-05-03,3.176
2018-05-04,3.158
2018-05-07,3.219
2018-05-08,3.269
2018-05-09,3.258
2018-05-10,3.284
2018-05-11,3.261
2018-05-14,3.295
2018-05-15,3.31
2018-05-16,3.278
2018-05-17,3.245
2018-05-18,3.287
2018-05-21,3.306
2018-05-22,3.29
2018-05-23,3.239
2018-05-24,3.208
2018-05-25,3.199
2018-05-28,3.223
2018-05-29,3.187
2018-05-30,3.115
2018-05-31,3.191
2018-06-01,3.165
2018-06-04,3.202
2018-06-05,3.234
2018-06-06,3.227
2018-06-07,3.226
2018-06-08,3.175
2018-06-11,3.185
2018-06-12,3.223
2018-06-13,3.184
2018-06-14,3.174
2018-06-15,3.168
2018-06-19,3.038
2018-06-20,3.038
2018-06-21,3.008
2018-06-22,3.024
2018-06-25,2.973
2018-06-26,2.938
2018-06-27,2.854
2018-06-28,2.834
2018-06-29,2.925
2018-07-02,2.831
2018-07-03,2.818
2018-07-04,2.782
2018-07-05,2.754
2018-07-06,2.783
2018-07-09,2.882
2018-07-10,2.891
2018-07-11,2.833
2018-07-12,2.916
2018-07-13,2.922
2018-07-16,2.907
2018-07-17,2.885
2018-07-18,2.869
2018-07-19,2.871
2018-07-20,2.938
2018-07-23,2.961
2018-07-24,3.027
2018-07-25,3.026
2018-07-26,2.979
2018-07-27,2.97
2018-07-30,2.95
2018-07-31,2.963
2018-08-01,2.883
2018-08-02,2.805
2018-08-03,2.757
2018-08-06,2.722
2018-08-07,2.815
2018-08-08,2.765
2018-08-09,2.846
2018-08-10,2.852
2018-08-13,2.837
2018-08-14,2.822
2018-08-15,2.74
