symbol,name,status,start,end,records,file
511880,银华日利,ok,2018-01-02,2025-12-31,1942,511880_银华日利.csv
511360,短融ETF,ok,2020-09-25,2025-12-31,1276,511360_短融ETF.csv
511010,国债ETF,ok,2018-01-02,2025-12-31,1942,511010_国债ETF.csv
511260,十年国债ETF,ok,2018-01-02,2025-12-31,1941,511260_十年国债ETF.csv
